,R_A,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10
BUSTED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BJ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S11,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
S12,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
S13,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
S14,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
S15,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
S16,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
S17,-0.47803347499471416,-0.1529745876815266,-0.11721624142456272,-0.08057337314530988,-0.044941375564922115,0.011739160673341464,-0.10680898948269507,-0.3819509710484482,-0.4231542396452181,-0.41972063392882075
S18,-0.1001988756131722,0.12174190222089876,0.14830007284131907,0.1758544371974896,0.19956119497617864,0.2834439160468978,0.39955416733655114,0.10595134861912275,-0.1831633566734342,-0.17830123379649038
S19,0.27763572376836976,0.38630468602059714,0.4043629365977651,0.42317892482749925,0.43951210416088443,0.4959770737873183,0.6159764957534306,0.5938536682866937,0.2875967570675808,0.06311816633583994
S20,0.6554703231499115,0.6399865752168429,0.6502720942514841,0.6610499619480731,0.6703596906328003,0.703958570171344,0.7732272265371745,0.7918151595518977,0.7583568708085958,0.5545375664681707
S21,0.9221938114203412,0.8820065154940412,0.8853003573017503,0.8887672929659199,0.8917538265952804,0.9028367438425797,0.9259262959645231,0.9306050531839659,0.9391761561472439,0.962623633267168
H2,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H3,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H4,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H5,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H6,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H7,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H8,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H9,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H10,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H11,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H12,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H13,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H14,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H15,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H16,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
H17,-0.47803347499471416,-0.1529745876815266,-0.11721624142456272,-0.08057337314530988,-0.044941375564922115,0.011739160673341464,-0.10680898948269507,-0.3819509710484482,-0.4231542396452181,-0.41972063392882075
H18,-0.1001988756131722,0.12174190222089876,0.14830007284131907,0.1758544371974896,0.19956119497617864,0.2834439160468978,0.39955416733655114,0.10595134861912275,-0.1831633566734342,-0.17830123379649038
H19,0.27763572376836976,0.38630468602059714,0.4043629365977651,0.42317892482749925,0.43951210416088443,0.4959770737873183,0.6159764957534306,0.5938536682866937,0.2875967570675808,0.06311816633583994
H20,0.6554703231499115,0.6399865752168429,0.6502720942514841,0.6610499619480731,0.6703596906328003,0.703958570171344,0.7732272265371745,0.7918151595518977,0.7583568708085958,0.5545375664681707
H21,0.9221938114203412,0.8820065154940412,0.8853003573017503,0.8887672929659199,0.8917538265952804,0.9028367438425797,0.9259262959645231,0.9306050531839659,0.9391761561472439,0.962623633267168
P4,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
P6,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
P8,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
P10,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
P12,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
P14,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
P16,-0.666950774685485,-0.2927837272092596,-0.25225022923570106,-0.2110631089949072,-0.1671926608354724,-0.15369901583000461,-0.47537518327693384,-0.510517515497618,-0.5431496811311101,-0.540430333994986
P18,-0.1001988756131722,0.12174190222089876,0.14830007284131907,0.1758544371974896,0.19956119497617864,0.2834439160468978,0.39955416733655114,0.10595134861912275,-0.1831633566734342,-0.17830123379649038
P20,0.6554703231499115,0.6399865752168429,0.6502720942514841,0.6610499619480731,0.6703596906328003,0.703958570171344,0.7732272265371745,0.7918151595518977,0.7583568708085958,0.5545375664681707
